fips,state,area_name,bachelorsOrHigher
1001,AL,Autauga County,21.9
1003,AL,Baldwin County,28.6
1005,AL,Barbour County,13.6
1007,AL,Bibb County,10.2
1009,AL,Blount County,12.3
1011,AL,Bullock County,14.1
1013,AL,Butler County,14.3
1015,AL,Calhoun County,16.9
1017,AL,Chambers County,12.2
1019,AL,Cherokee County,13.7
1021,AL,Chilton County,13.5
1023,AL,Choctaw County,12.8
1025,AL,Clarke County,11.9
1027,AL,Clay County,8.6
1029,AL,Cleburne County,10.6
1031,AL,Coffee County,23.2
1033,AL,Colbert County,17.6
1035,AL,Conecuh County,8.3
1037,AL,Coosa County,9.1
1039,AL,Covington County,14.6
1041,AL,Crenshaw County,12.5
1043,AL,Cullman County,15.1
1045,AL,Dale County,16.9
1047,AL,Dallas County,14.5
1049,AL,DeKalb County,11.3
1051,AL,Elmore County,21.4
1053,AL,Escambia County,12.5
1055,AL,Etowah County,15.4
1057,AL,Fayette County,13.8
1059,AL,Franklin County,10.9
1061,AL,Geneva County,11.2
1063,AL,Greene County,11.5
1065,AL,Hale County,14
1067,AL,Henry County,16.8
1069,AL,Houston County,20.1
1071,AL,Jackson County,12.9
1073,AL,Jefferson County,30.3
1075,AL,Lamar County,11.4
1077,AL,Lauderdale County,22.1
1079,AL,Lawrence County,11.3
1081,AL,Lee County,33.2
1083,AL,Limestone County,23.1
1085,AL,Lowndes County,13.2
1087,AL,Macon County,19.4
1089,AL,Madison County,38.6
1091,AL,Marengo County,16
1093,AL,Marion County,11.1
1095,AL,Marshall County,16.1
1097,AL,Mobile County,21.4
1099,AL,Monroe County,12.5
1101,AL,Montgomery County,31.3
1103,AL,Morgan County,19.9
1105,AL,Perry County,9.1
1107,AL,Pickens County,9.6
1109,AL,Pike County,23.6
1111,AL,Randolph County,12.4
1113,AL,Russell County,15.5
1115,AL,St. Clair County,15.5
1117,AL,Shelby County,40.2
1119,AL,Sumter County,15
1121,AL,Talladega County,12.5
1123,AL,Tallapoosa County,17.6
1125,AL,Tuscaloosa County,27.7
1127,AL,Walker County,10.7
1129,AL,Washington County,10.3
1131,AL,Wilcox County,11.5
1133,AL,Winston County,11.1
2013,AK,Aleutians East Borough,12.6
2016,AK,Aleutians West Census Area,15.4
2020,AK,Anchorage Municipality,32.9
2050,AK,Bethel Census Area,11.4
2060,AK,Bristol Bay Borough,20.2
2068,AK,Denali Borough,29.5
2070,AK,Dillingham Census Area,16.6
2090,AK,Fairbanks North Star Borough,30.5
2100,AK,Haines Borough,31.3
2105,AK,Hoonah-Angoon Census Area,29.3
2110,AK,Juneau City and Borough,37.8
2122,AK,Kenai Peninsula Borough,23.3
2130,AK,Ketchikan Gateway Borough,24.6
2150,AK,Kodiak Island Borough,21.6
2164,AK,Lake and Peninsula Borough,13.7
2170,AK,Matanuska-Susitna Borough,20.9
2180,AK,Nome Census Area,14.7
2185,AK,North Slope Borough,13.4
2188,AK,Northwest Arctic Borough,12
2195,AK,Petersburg Census Area,25.2
2198,AK,Prince of Wales-Hyder Census Area,16.3
2220,AK,Sitka City and Borough,32.9
2230,AK,Skagway Municipality,34.6
2240,AK,Southeast Fairbanks Census Area,20.7
2261,AK,Valdez-Cordova Census Area,24.1
2158,AK,Kusilvak Census Area,4.5
2275,AK,Wrangell City and Borough,18.7
2282,AK,Yakutat City and Borough,20.3
2290,AK,Yukon-Koyukuk Census Area,10.1
4001,AZ,Apache County,10.1
4003,AZ,Cochise County,23.1
4005,AZ,Coconino County,32.8
4007,AZ,Gila County,17.1
4009,AZ,Graham County,13.6
4011,AZ,Greenlee County,11.8
4012,AZ,La Paz County,10.2
4013,AZ,Maricopa County,30
4015,AZ,Mohave County,12.2
4017,AZ,Navajo County,14.5
4019,AZ,Pima County,30.1
4021,AZ,Pinal County,17.8
4023,AZ,Santa Cruz County,22
4025,AZ,Yavapai County,24.9
4027,AZ,Yuma County,14
5001,AR,Arkansas County,13.9
5003,AR,Ashley County,12.7
5005,AR,Baxter County,17.4
5007,AR,Benton County,29.6
5009,AR,Boone County,15.1
5011,AR,Bradley County,11.2
5013,AR,Calhoun County,10.6
5015,AR,Carroll County,17
5017,AR,Chicot County,11.3
5019,AR,Clark County,22.3
5021,AR,Clay County,9.8
5023,AR,Cleburne County,17.2
5025,AR,Cleveland County,14.6
5027,AR,Columbia County,21.3
5029,AR,Conway County,16.5
5031,AR,Craighead County,24.8
5033,AR,Crawford County,14.3
5035,AR,Crittenden County,14.6
5037,AR,Cross County,12.4
5039,AR,Dallas County,11.8
5041,AR,Desha County,11.6
5043,AR,Drew County,20.4
5045,AR,Faulkner County,27.3
5047,AR,Franklin County,12.6
5049,AR,Fulton County,10.7
5051,AR,Garland County,21
5053,AR,Grant County,15.3
5055,AR,Greene County,14.9
5057,AR,Hempstead County,14
5059,AR,Hot Spring County,14.1
5061,AR,Howard County,14.4
5063,AR,Independence County,14.8
5065,AR,Izard County,12.3
5067,AR,Jackson County,7.9
5069,AR,Jefferson County,17.1
5071,AR,Johnson County,16.3
5073,AR,Lafayette County,12.4
5075,AR,Lawrence County,11.8
5077,AR,Lee County,6.4
5079,AR,Lincoln County,8.5
5081,AR,Little River County,11.8
5083,AR,Logan County,11.8
5085,AR,Lonoke County,18.7
5087,AR,Madison County,9.7
5089,AR,Marion County,12.8
5091,AR,Miller County,12.7
5093,AR,Mississippi County,13.1
5095,AR,Monroe County,12.1
5097,AR,Montgomery County,13.6
5099,AR,Nevada County,14.2
5101,AR,Newton County,11.3
5103,AR,Ouachita County,15.9
5105,AR,Perry County,14.4
5107,AR,Phillips County,12.9
5109,AR,Pike County,12.8
5111,AR,Poinsett County,8
5113,AR,Polk County,12.6
5115,AR,Pope County,21.1
5117,AR,Prairie County,10.4
5119,AR,Pulaski County,32
5121,AR,Randolph County,14.4
5123,AR,St. Francis County,11.8
5125,AR,Saline County,23
5127,AR,Scott County,12.2
5129,AR,Searcy County,13.9
5131,AR,Sebastian County,19.7
5133,AR,Sevier County,8.3
5135,AR,Sharp County,10.6
5137,AR,Stone County,16.3
5139,AR,Union County,17.4
5141,AR,Van Buren County,12.2
5143,AR,Washington County,29.3
5145,AR,White County,19
5147,AR,Woodruff County,9
5149,AR,Yell County,11.9
6001,CA,Alameda County,42.1
6003,CA,Alpine County,30.5
6005,CA,Amador County,20.5
6007,CA,Butte County,25
6009,CA,Calaveras County,21.1
6011,CA,Colusa County,14.3
6013,CA,Contra Costa County,39.4
6015,CA,Del Norte County,16
6017,CA,El Dorado County,32.1
6019,CA,Fresno County,19.5
6021,CA,Glenn County,15.7
6023,CA,Humboldt County,27.5
6025,CA,Imperial County,13.4
6027,CA,Inyo County,21.4
6029,CA,Kern County,15.2
6031,CA,Kings County,12.5
6033,CA,Lake County,16.2
6035,CA,Lassen County,12.9
6037,CA,Los Angeles County,29.9
6039,CA,Madera County,13.5
6041,CA,Marin County,54.8
6043,CA,Mariposa County,22.4
6045,CA,Mendocino County,22.5
6047,CA,Merced County,13
6049,CA,Modoc County,18.5
6051,CA,Mono County,33.3
6053,CA,Monterey County,23.1
6055,CA,Napa County,31.9
6057,CA,Nevada County,32.8
6059,CA,Orange County,37.3
6061,CA,Placer County,35.7
6063,CA,Plumas County,22.7
6065,CA,Riverside County,20.8
6067,CA,Sacramento County,28.2
6069,CA,San Benito County,19
6071,CA,San Bernardino County,18.8
6073,CA,San Diego County,35.1
6075,CA,San Francisco County,52.9
6077,CA,San Joaquin County,18.1
6079,CA,San Luis Obispo County,32.1
6081,CA,San Mateo County,45
6083,CA,Santa Barbara County,31.4
6085,CA,Santa Clara County,47.3
6087,CA,Santa Cruz County,37.5
6089,CA,Shasta County,19.1
6091,CA,Sierra County,19
6093,CA,Siskiyou County,24
6095,CA,Solano County,24.3
6097,CA,Sonoma County,32.6
6099,CA,Stanislaus County,16.4
6101,CA,Sutter County,18.5
6103,CA,Tehama County,14.1
6105,CA,Trinity County,22
6107,CA,Tulare County,13.3
6109,CA,Tuolumne County,19.8
6111,CA,Ventura County,31.6
6113,CA,Yolo County,38.3
6115,CA,Yuba County,14.2
8001,CO,Adams County,21.6
8003,CO,Alamosa County,24.1
8005,CO,Arapahoe County,39.4
8007,CO,Archuleta County,35.3
8009,CO,Baca County,16.1
8011,CO,Bent County,7.5
8013,CO,Boulder County,58.2
8014,CO,Broomfield County,49.5
8015,CO,Chaffee County,34.2
8017,CO,Cheyenne County,21.8
8019,CO,Clear Creek County,40.8
8021,CO,Conejos County,20.2
8023,CO,Costilla County,18.2
8025,CO,Crowley County,10.5
8027,CO,Custer County,34.8
8029,CO,Delta County,18.9
8031,CO,Denver County,43.7
8033,CO,Dolores County,21.7
8035,CO,Douglas County,55.9
8037,CO,Eagle County,47.3
8039,CO,Elbert County,29.5
8041,CO,El Paso County,35.2
8043,CO,Fremont County,15.9
8045,CO,Garfield County,29.3
8047,CO,Gilpin County,29.5
8049,CO,Grand County,36.3
8051,CO,Gunnison County,54.4
8053,CO,Hinsdale County,41.3
8055,CO,Huerfano County,28.9
8057,CO,Jackson County,17.5
8059,CO,Jefferson County,41.1
8061,CO,Kiowa County,19.4
8063,CO,Kit Carson County,13.9
8065,CO,Lake County,30.3
8067,CO,La Plata County,43.4
8069,CO,Larimer County,44.1
8071,CO,Las Animas County,18
8073,CO,Lincoln County,16.1
8075,CO,Logan County,15.9
8077,CO,Mesa County,25.2
8079,CO,Mineral County,39.4
8081,CO,Moffat County,14.2
8083,CO,Montezuma County,26.4
8085,CO,Montrose County,24.6
8087,CO,Morgan County,13.9
8089,CO,Otero County,15.5
8091,CO,Ouray County,50
8093,CO,Park County,31.6
8095,CO,Phillips County,18.2
8097,CO,Pitkin County,56.4
8099,CO,Prowers County,13.9
8101,CO,Pueblo County,21.4
8103,CO,Rio Blanco County,20.8
8105,CO,Rio Grande County,20.9
8107,CO,Routt County,48.7
8109,CO,Saguache County,25.7
8111,CO,San Juan County,27.1
8113,CO,San Miguel County,54.4
8115,CO,Sedgwick County,18.6
8117,CO,Summit County,48.1
