quarter,state,code,unemployment,frustration,calls
2019-Q1,Alabama,AL,4.3,4.333333333333333,21.333333333333332
2019-Q1,Alaska,AK,6.8,6.4,2.6666666666666665
2019-Q1,Arizona,AZ,5.4,5.846153846153846,24.0
2019-Q1,Arkansas,AR,4.4,4.333333333333333,15.333333333333334
2019-Q1,California,CA,4.9,4.095505617977528,161.66666666666666
2019-Q1,Colorado,CO,3.4,4.153846153846154,24.333333333333332
2019-Q1,Connecticut,CT,4.5,4.294117647058823,18.0
2019-Q1,Delaware,DE,4.1,5.0,3.6666666666666665
2019-Q1,District of Columbia,DC,6.6,6.25,3.3333333333333335
2019-Q1,Florida,FL,3.8,3.98,90.0
2019-Q1,Georgia,GA,4.3,4.461538461538462,47.0
2019-Q1,Hawaii,HI,2.9,4.4,4.666666666666667
2019-Q1,Idaho,ID,3.9,5.0,9.0
2019-Q1,Illinois,IL,5.4,6.048780487804878,44.666666666666664
2019-Q1,Indiana,IN,4.0,4.175,33.0
2019-Q1,Iowa,IA,3.6,5.083333333333333,12.0
2019-Q1,Kansas,KS,3.7,4.25,12.666666666666666
2019-Q1,Kentucky,KY,4.7,4.333333333333333,21.666666666666668
2019-Q1,Louisiana,LA,5.2,5.769230769230769,18.333333333333332
2019-Q1,Maine,ME,3.7,3.6666666666666665,8.333333333333334
2019-Q1,Maryland,MD,4.3,4.52,26.0
2019-Q1,Massachusetts,MA,4.0,4.2,36.333333333333336
2019-Q1,Michigan,MI,4.8,4.17948717948718,42.666666666666664
2019-Q1,Minnesota,MN,4.2,4.571428571428571,28.0
2019-Q1,Mississippi,MS,5.7,6.388888888888889,12.666666666666666
2019-Q1,Missouri,MO,3.7,4.2,26.666666666666668
2019-Q1,Montana,MT,4.8,5.0,2.6666666666666665
2019-Q1,Nebraska,NE,3.6,4.333333333333333,8.666666666666666
2019-Q1,Nevada,NV,4.7,4.166666666666667,7.666666666666667
2019-Q1,New Hampshire,NH,3.2,4.857142857142857,6.666666666666667
2019-Q1,New Jersey,NJ,4.2,4.27027027027027,37.333333333333336
2019-Q1,New Mexico,NM,5.5,5.75,10.333333333333334
2019-Q1,New York,NY,4.6,4.270588235294118,83.0
2019-Q1,North Carolina,NC,4.3,4.186440677966102,52.333333333333336
2019-Q1,North Dakota,ND,3.2,7.0,2.3333333333333335
2019-Q1,Ohio,OH,5.3,5.926829268292683,46.0
2019-Q1,Oklahoma,OK,3.7,4.318181818181818,17.666666666666668
2019-Q1,Oregon,OR,4.6,4.157894736842105,20.666666666666668
2019-Q1,Pennsylvania,PA,4.8,4.122448979591836,60.333333333333336
2019-Q1,Rhode Island,RI,4.7,6.0,3.6666666666666665
2019-Q1,South Carolina,SC,3.8,4.428571428571429,23.333333333333332
2019-Q1,South Dakota,SD,3.5,4.2,4.666666666666667
2019-Q1,Tennessee,TN,3.9,4.184210526315789,32.666666666666664
2019-Q1,Texas,TX,4.2,4.0215827338129495,127.0
2019-Q1,Utah,UT,3.1,4.454545454545454,9.666666666666666
2019-Q1,Vermont,VT,2.9,6.0,1.3333333333333333
2019-Q1,Virginia,VA,3.4,4.0,33.0
2019-Q1,Washington,WA,5.2,6.085714285714285,32.666666666666664
2019-Q1,West Virginia,WV,6.1,6.75,8.0
2019-Q1,Wisconsin,WI,3.6,4.0,29.666666666666668
2019-Q1,Wyoming,WY,4.5,4.2,4.0
2019-Q2,Alabama,AL,3.3,4.5,22.666666666666668
2019-Q2,Alaska,AK,5.6,6.333333333333333,2.6666666666666665
2019-Q2,Arizona,AZ,5.2,6.172413793103448,31.333333333333332
2019-Q2,Arkansas,AR,3.7,4.0,12.0
