Year,India,Australia,Zim,WI,Ireland,Afg
2001,5005,4931,7177,5776,,
2002,7557,5771,2997,5018,,
2003,5647,7503,3849,4427,,
2004,6937,5846,4540,4008,,
2005,6086,6793,2173,3762,,
2006,5891,6674,4991,6343,716,
2007,8111,7864,2698,4539,3374,
2008,6587,3793,2069,3851,1656,
2009,6804,9016,5714,3761,1447,648
2010,6063,5918,3763,3309,3280,2343
2011,8008,5437,3616,5622,2592,339
2012,3998,5404,542,3367,596,842
2013,6961,5763,2688,4897,1543,615
2014,5771,4455,2934,2982,911,3096
2015,5254,4548,6465,3184,2925,2999
2016,3097,6845,1796,2920,1635,2359
2017,7412,3451,2119,3756,3060,3087
2018,4733,3101,4751,4133,2757,4100
2019,6946,6278,1817,6216,2699,4101
2020,2603,3525,1365,1344,1260,
2021,1670,559,992,1598,2964,759
